accommodates,bathrooms,bed_type,bedrooms,beds,calculated_host_listings_count,cancellation_policy,guests_included,has_availability,host_is_superhost,host_listings_count,instant_bookable,maximum_nights,number_of_reviews,property_type,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,room_type,price
6,2.5,Real Bed,1,3,1,moderate,1,t,f,1,f,10,1,House,10,10,10,100,10,Private room,$300.00 
2,0,Futon,1,1,1,moderate,1,t,f,1,f,7,0,Camper/RV,,,,,,Private room,$99.00 
2,1.5,Real Bed,1,1,2,flexible,1,t,f,2,f,1125,0,House,,,,,,Private room,$100.00 
2,1.5,Real Bed,1,1,2,flexible,1,t,f,2,f,1125,0,House,,,,,,Private room,$100.00 
6,2,Real Bed,3,3,2,strict,1,t,f,301,f,1125,0,House,,,,,,Entire home/apt,$599.00 
2,1,Real Bed,1,1,1,flexible,1,t,f,1,f,1125,0,House,,,,,,Private room,$100.00 
2,1,Futon,1,1,1,flexible,2,t,f,1,f,1125,0,Bed & Breakfast,,,,,,Private room,$54.00 
2,1,Real Bed,1,1,1,moderate,2,t,f,1,t,7,2,House,10,10,10,100,10,Private room,$40.00 
6,1,Real Bed,1,3,1,flexible,2,t,f,2,t,1125,0,House,,,,,,Private room,$130.00 
2,1,Real Bed,1,1,1,moderate,2,t,t,1,f,1125,20,House,10,10,10,99,10,Private room,$44.00 
2,1,Real Bed,1,1,1,strict,2,t,f,1,f,7,0,House,,,,,,Private room,$99.00 
2,1,Real Bed,1,1,1,strict,1,t,f,1,f,1125,9,House,10,10,10,93,10,Private room,$50.00 
2,1,Real Bed,1,1,5,strict,1,t,t,9,f,14,4,House,10,10,10,100,10,Private room,$49.00 
2,1,Real Bed,1,1,5,strict,1,t,t,9,f,1125,7,House,10,10,10,100,10,Private room,$50.00 
2,1,Real Bed,1,1,10,strict,1,t,t,12,f,1825,14,Bed & Breakfast,10,10,9,99,9,Private room,$55.00 
2,1,Real Bed,1,1,1,flexible,0,t,f,1,t,1125,0,Apartment,,,,,,Entire home/apt,$180.00 
2,1,Real Bed,1,1,2,moderate,1,t,f,2,f,1125,6,House,10,9,9,87,10,Private room,$36.00 
2,1,Real Bed,1,1,2,strict,1,t,f,2,f,1125,0,House,,,,,,Private room,$125.00 
6,2,Real Bed,2,2,1,moderate,1,t,f,1,t,1125,0,Apartment,,,,,,Entire home/apt,$59.00 
2,1,Real Bed,1,1,2,strict,2,t,t,2,f,1125,4,House,10,10,9,100,10,Private room,$49.00 
2,1,Real Bed,1,1,1,flexible,1,t,f,1,f,1125,0,House,,,,,,Private room,$40.00 
1,1,Real Bed,1,1,1,flexible,1,t,f,1,f,1125,0,House,,,,,,Private room,$150.00 
3,1,Real Bed,1,1,1,flexible,3,t,f,1,f,1125,0,House,,,,,,Private room,$175.00 
6,1,Real Bed,1,2,1,moderate,4,t,f,1,f,30,76,House,10,10,9,94,10,Private room,$50.00 
5,2.5,Real Bed,4,4,1,flexible,1,t,f,1,f,1125,0,House,,,,,,Entire home/apt,$120.00 
8,2,Real Bed,3,3,1,flexible,1,t,f,1,f,1125,0,House,,,,,,Entire home/apt,$450.00 
2,1.5,Real Bed,1,2,2,strict,2,t,t,2,f,28,14,House,10,10,9,99,10,Private room,$49.00 
2,1,Real Bed,1,1,2,moderate,1,t,f,2,f,1125,8,House,9,8,9,83,9,Private room,$36.00 
2,1,Real Bed,1,1,2,strict,1,t,f,2,f,1125,1,House,10,10,10,100,8,Private room,$75.00 
2,1,Airbed,1,1,1,flexible,1,t,f,2,f,1125,1,House,8,8,4,60,8,Private room,$50.00 
2,1,Real Bed,1,1,1,flexible,1,t,f,1,f,1125,0,House,,,,,,Private room,$70.00 
2,1.5,Real Bed,1,1,1,flexible,2,t,f,1,f,1125,0,House,,,,,,Private room,$36.00 
2,1,Real Bed,1,1,1,flexible,1,t,f,2,f,1125,0,House,,,,,,Private room,$110.00 
1,1,Real Bed,1,1,1,flexible,1,t,f,1,f,1125,0,House,,,,,,Private room,$200.00 
1,1.5,Real Bed,1,1,1,moderate,1,t,t,1,f,1125,16,House,10,10,9,93,9,Private room,$34.00 
4,1,Real Bed,1,1,1,flexible,4,t,f,1,f,1125,2,Townhouse,9,10,10,100,10,Private room,$59.00 
2,1,Real Bed,1,1,1,flexible,1,t,f,1,f,1125,0,House,,,,,,Private room,$155.00 
10,3.5,Real Bed,4,5,2,strict,1,t,f,301,f,1125,1,House,10,10,10,80,10,Entire home/apt,$700.00 
12,3.5,Real Bed,4,5,2,strict,1,t,f,301,f,1125,0,House,,,,,,Entire home/apt,$819.00 
10,2,Real Bed,3,3,7,strict,1,t,f,339,f,165,2,House,8,10,10,80,8,Entire home/apt,"$1,200.00 "
8,4.5,Real Bed,4,4,1,strict,10,t,f,1,f,1125,6,House,9,8,9,87,7,Entire home/apt,"$1,250.00 "
